Sample,Ammonia,Cyclohexanone,Ethanol,Acetone,Methanol,Sensor1,Sensor2,Sensor3,Sensor4
6,100,0,0,0,0,230393.745818,180999.468257,1489775.682365,608788.981921
6,100,0,0,0,0,230444.399748,181152.303053,1490452.177284,612117.075956
6,100,0,0,0,0,230398.066153,181138.659079,1490078.699544,613593.520857
6,100,0,0,0,0,230437.396815,181091.857499,1489528.002133,613382.860161
6,100,0,0,0,0,230305.958173,180993.613587,1488705.513608,612067.135231
6,100,0,0,0,0,229859.624782,180725.764728,1487721.546271,608612.764479
6,100,0,0,0,0,230105.761557,180930.507826,1488567.894414,612720.202636
6,100,0,0,0,0,230030.487445,180901.288905,1488228.636570,614299.392884
6,100,0,0,0,0,229959.011425,180829.650194,1487532.104571,613635.982413
6,100,0,0,0,0,229900.981034,180710.584003,1486543.168217,611676.019269
6,100,0,0,0,0,229667.482837,180589.309907,1485804.854637,609376.775836
6,100,0,0,0,0,229657.299938,180448.712162,1484993.657623,607028.050377
6,100,0,0,0,0,229466.998110,180355.958081,1484765.180643,604964.575481
6,100,0,0,0,0,229196.128199,180117.213278,1483361.382112,600160.660662
6,100,0,0,0,0,229484.675085,180428.517740,1484832.306119,605118.372153
6,100,0,0,0,0,229392.014998,180360.230769,1484527.620921,607207.862286
6,100,0,0,0,0,229260.863722,180253.209198,1483945.835665,608253.908705
6,100,0,0,0,0,229283.869698,180255.531221,1483574.306663,608459.531115
6,100,0,0,0,0,229274.770321,180208.630068,1483108.802131,608469.647072
6,100,0,0,0,0,229198.815316,180135.024111,1482186.836297,606503.131343
6,100,0,0,0,0,228957.743837,179997.983947,1481703.643580,605484.679221
6,100,0,0,0,0,228903.288975,179945.357879,1481305.481466,604820.878392
6,100,0,0,0,0,228880.336146,179878.071688,1481016.629651,603578.787743
6,100,0,0,0,0,228762.398829,179802.324713,1480266.633583,601891.271013
6,100,0,0,0,0,228814.151938,179836.337631,1480108.828323,602348.657410
6,100,0,0,0,0,228710.121022,179754.418235,1479571.326551,601683.654586
6,100,0,0,0,0,228540.082001,179570.670830,1478637.337581,598747.685052
6,100,0,0,0,0,228624.281333,179760.202720,1479395.435500,600848.349963
7,0,100,0,0,0,250812.170845,199754.817759,1531409.167262,880700.825502
7,0,100,0,0,0,251170.920266,199805.383654,1531573.568570,880686.826910
7,0,100,0,0,0,251243.970079,199868.400630,1531137.249147,880798.484134
7,0,100,0,0,0,251307.928313,199870.608848,1531358.598291,880774.195030
7,0,100,0,0,0,251329.233282,199831.551774,1531156.189864,880744.509198
7,0,100,0,0,0,251433.441202,199863.962853,1531621.090026,881036.010663
7,0,100,0,0,0,251437.710924,199895.909199,1531709.567201,881160.027395
7,0,100,0,0,0,252011.029887,199881.714747,1531159.244845,880971.393458
7,0,100,0,0,0,252099.119212,199902.578053,1530378.478935,881025.550135
7,0,100,0,0,0,252168.889099,199911.005679,1530697.720836,881069.248918
7,0,100,0,0,0,252205.618087,199860.854344,1530157.301158,880807.255354
7,0,100,0,0,0,252103.405124,199859.075020,1530764.144266,881048.327240
7,0,100,0,0,0,252245.431261,199906.566641,1530331.156767,881100.632307
7,0,100,0,0,0,252321.977107,199896.359498,1529850.860600,881394.100799
7,0,100,0,0,0,252325.676531,199970.505753,1530953.813803,881617.765347
7,0,100,0,0,0,252434.148579,199929.213541,1530552.364942,881526.942688
7,0,100,0,0,0,252435.362754,199976.276843,1531358.598291,881813.452134
7,0,100,0,0,0,252491.164618,199944.291925,1529964.546269,881502.465962
7,0,100,0,0,0,252550.658673,199976.727384,1529872.986540,881626.544210
7,0,100,0,0,0,252559.252602,199982.498713,1530249.034108,881976.077035
7,0,100,0,0,0,252470.932920,199912.785620,1529996.135913,881754.015778
7,0,100,0,0,0,252500.348147,199956.733269,1530700.927404,881740.001502
7,0,100,0,0,0,252548.821405,199949.632996,1530482.746604,881577.586212
7,0,100,0,0,0,252547.576815,199887.482421,1530214.232805,881872.892244
7,0,100,0,0,0,252615.686595,199948.732079,1530327.951136,881666.725436
7,0,100,0,0,0,252355.689132,199853.308438,1529923.496171,881121.555149
7,0,100,0,0,0,252480.737450,199812.927148,1528439.720344,880926.012227
7,0,100,0,0,0,252434.740858,199832.001880,1529525.577657,881390.556355
7,0,100,0,0,0,252535.309181,199895.909199,1529923.496171,881353.931215
8,0,0,100,0,0,231353.912391,182516.170420,1478058.307310,698230.381091
8,0,0,100,0,0,231402.687818,182507.512276,1477721.908693,698147.736080
8,0,0,100,0,0,231375.588586,182518.549124,1478121.849767,698204.665392
8,0,0,100,0,0,231364.200376,182496.095755,1477821.735479,698156.398990
8,0,0,100,0,0,231377.761597,182536.666647,1478167.239231,698381.253044
8,0,0,100,0,0,231311.118087,182480.722964,1477733.910902,698376.989202
8,0,0,100,0,0,231295.939889,182472.066992,1478085.539392,698758.619036
8,0,0,100,0,0,231325.721873,182557.946285,1477718.688608,698720.090579
8,0,0,100,0,0,231332.239031,182409.075111,1477594.575347,698476.576126
8,0,0,100,0,0,231359.331174,182496.875854,1477676.242815,698721.604164
8,0,0,100,0,0,231349.043491,182498.455093,1478203.552000,698570.671739
8,0,0,100,0,0,231294.317474,182420.085252,1477400.819598,698876.829745
8,0,0,100,0,0,231334.934959,182495.296633,1477485.401084,699124.726566
8,0,0,100,0,0,231376.138381,182544.146512,1477424.817910,699130.370811
8,0,0,100,0,0,231366.373238,182567.007283,1477885.558578,699121.835625
8,0,0,100,0,0,231351.739692,182522.488346,1477282.590797,699213.111497
8,0,0,100,0,0,231364.200376,182533.507332,1477085.665399,699114.677148
8,0,0,100,0,0,231371.242648,182561.486858,1478006.772964,699885.936761
8,0,0,100,0,0,231424.370395,182619.423994,1478400.655186,700057.086000
8,0,0,100,0,0,231373.965391,182599.315612,1478112.772073,700126.961176
8,0,0,100,0,0,231403.761405,182561.886606,1478036.932009,700077.069438
8,0,0,100,0,0,231444.431924,182621.004604,1478130.927527,700509.377950
8,0,0,100,0,0,231485.636387,182697.904521,1478716.144102,700433.818391
8,0,0,100,0,0,231486.736710,182685.672407,1478688.605194,700525.097388
8,0,0,100,0,0,231473.716687,182703.811372,1478855.605838,700563.707768
8,0,0,100,0,0,231528.501994,182736.951479,1478934.426239,700443.745541
9,0,0,0,0,100,407841.397637,313570.152299,1695923.999222,1097108.589852
9,0,0,0,0,100,407646.737126,315483.390883,1692989.361087,1095518.752684
9,0,0,0,0,100,407520.843571,315961.942935,1692091.242570,1095312.734482
9,0,0,0,0,100,407511.939097,316245.621501,1691715.648619,1095278.192712
9,0,0,0,0,100,407486.517010,316299.536079,1691236.547038,1095126.431766
9,0,0,0,0,100,407515.746489,316432.130305,1690700.480217,1094957.531985
9,0,0,0,0,100,407604.745192,316568.284289,1690847.035728,1094407.488427
9,0,0,0,0,100,407433.132776,316664.207990,1690214.665366,1094374.858937
9,0,0,0,0,100,407506.842194,316741.334863,1689896.694033,1094357.707946
9,0,0,0,0,100,407623.820403,316910.260855,1690046.785079,1094658.518500
9,0,0,0,0,100,407824.857678,317202.994930,1690528.914899,1094251.670861
9,0,0,0,0,100,407756.126937,317284.638930,1690214.665366,1094779.871274
9,0,0,0,0,100,407953.424265,317463.479072,1690532.539292,1095145.897803
9,0,0,0,0,100,407907.599002,317565.011823,1689810.959884,1095035.385750
9,0,0,0,0,100,407875.772225,317645.050936,1689964.664225,1095796.019975
9,0,0,0,0,100,408032.392288,317755.284859,1689778.875672,1095882.733417
9,0,0,0,0,100,408001.841949,317642.472575,1689589.663388,1096694.082012
9,0,0,0,0,100,408110.123009,317746.672038,1689464.628858,1096550.709257
9,0,0,0,0,100,408237.571605,317981.925436,1689571.726686,1097527.457415
9,0,0,0,0,100,408358.707006,317149.758838,1689810.959884,1108847.245052
9,0,0,0,0,100,408402.087085,316422.745081,1689450.487753,1117993.479436
9,0,0,0,0,100,408472.256478,316598.240184,1689421.861094,1118733.204548
9,0,0,0,0,100,408643.308081,316799.644007,1689679.005524,1118179.378508
9,0,0,0,0,100,408712.279229,317136.897908,1690025.391768,1117634.822824
9,0,0,0,0,100,408824.690451,317357.718100,1689386.164848,1116387.422001
9,0,0,0,0,100,408921.836716,317608.042026,1690168.250324,1115812.620992
10,0,0,0,0,0,1696868.910503,2519004.895449,1235554.270676,751623.907643
10,0,0,0,0,0,1698346.108089,2521087.284722,1236482.154443,751623.907643
10,0,0,0,0,0,1701161.932077,2523403.790433,1236390.810028,752202.799689
10,0,0,0,0,0,1701405.749640,2523535.021206,1237395.770466,752772.148344
10,0,0,0,0,0,1702401.370739,2528721.555962,1237129.172312,753202.980072
10,0,0,0,0,0,1703714.932255,2529293.735158,1238641.771330,753321.608744
10,0,0,0,0,0,1706181.691212,2530584.848118,1239634.166203,753575.693665
10,0,0,0,0,0,1708176.718234,2531000.372155,1240649.465595,753791.242626
10,0,0,0,0,0,1707288.055587,2534712.143412,1241961.168669,754189.026582
10,0,0,0,0,0,1708853.673791,2533535.299186,1242757.658350,754740.956173
10,0,0,0,0,0,1709889.787530,2535067.130131,1243405.913005,754986.793997
10,0,0,0,0,0,1711146.654102,2538841.562517,1244496.939486,755592.646907
10,0,0,0,0,0,1712585.022235,2539233.057247,1243994.753050,756054.814393
10,0,0,0,0,0,1712298.567832,2540336.679343,1246532.481520,755833.817443
10,0,0,0,0,0,1715474.557639,2539695.864587,1245768.179632,755888.981733
10,0,0,0,0,0,1718151.299213,2541980.330990,1247454.569772,756274.236335
10,0,0,0,0,0,746817.668174,148447.581715,1493385.042653,526105.797093
10,0,0,0,0,0,747575.743308,148439.958712,1493965.326762,525586.346112
10,0,0,0,0,0,747987.177196,148428.686944,1493535.647425,525587.566890
10,0,0,0,0,0,748225.034739,148522.836136,1495657.905682,525650.717073
10,0,0,0,0,0,748654.957129,148345.548791,1496134.366803,526344.936669
10,0,0,0,0,0,747706.961223,148479.579883,1496660.348681,526365.599712
10,0,0,0,0,0,748651.437034,148524.367606,1497737.668657,526095.469018
10,0,0,0,0,0,750475.229930,148578.658657,1497047.993546,526155.218312
10,0,0,0,0,0,749622.888162,148547.253562,1496949.584562,526366.710644
10,0,0,0,0,0,750296.781534,148539.300436,1496346.515873,526239.075118
10,0,0,0,0,0,749010.551339,148616.172513,1498843.608989,526809.545880
10,0,0,0,0,0,749715.576605,148706.806483,1499419.883428,527025.889550
10,0,0,0,0,0,749462.602963,148501.515311,1499429.117895,526777.421960
10,0,0,0,0,0,750464.538159,148530.464225,1500903.784015,526632.380955
